Date,A,AAPL,ABT,ADP,ADSK,AIG,ALL,AMP,AMZN,BA,BEN,BK,BMY,CAH,CAT,CI,CINF,CL,CMA,CMCSA,CMI,CNP,COF,COST,CPB,CSCO,CSX,CTAS,CVS,D,DE,DHR,DIS,DRI,DTE,DUK,DVN,EA,EBAY,ECL,ED,EIX,EL,EMN,EMR,FCX,FISV,FITB,GD,GILD,GOOGL,GPS,GWW,HAL,HAS,HD,HOG,HPQ,HSY,HUM,IP,IPG,JCI,K,KIM,KLAC,KO,KR,LEG,LH,LNC,MAR,MCD,MCO,MMM,MO,MS,MSFT,MU,NEE,NKE,NTRS,NUE,NVDA,NWL,OMC,OXY,PCAR,PEG,PEP,PFG,PG,PGR,PH,PHM,PNC,PPG,PPL,PRU,SEE,SPG,STT,SYK,TAP,TGT,TSN,TXN,UNH,UPS,VNO,VRSN,VZ,WHR,WMT,WY,XEL,XRX,ZION
2009-06-30,13.19,4.34,16.58,22.38,18.98,15.59,18.0,17.89,4.18,32.52,15.2,22.01,12.91,15.31,22.88,23.15,13.75,25.75,15.28,5.56,25.7,6.43,18.02,33.62,19.5,13.24,3.01,18.79,24.29,19.42,30.41,22.18,20.09,19.31,16.52,23.82,39.22,21.46,6.8,33.46,21.62,19.95,14.05,13.33,21.83,18.79,11.43,5.02,40.45,18.08,10.55,11.34,64.17,16.88,16.35,17.12,12.23,12.49,26.27,29.29,8.81,3.49,8.86,30.17,5.48,14.57,15.81,8.64,8.97,67.21,13.36,18.02,39.12,22.19,41.02,7.67,22.24,18.01,5.02,9.56,10.99,38.96,29.85,2.59,7.0,21.5,41.8,20.72,19.4,37.05,12.13,34.11,9.54,33.66,7.72,27.94,16.98,15.93,23.16,14.49,28.09,36.03,33.42,30.87,27.99,10.29,15.22,20.59,33.45,18.79,15.73,15.06,29.65,35.65,7.22,11.6,11.39,9.64
2009-07-01,13.39,4.35,16.44,22.32,18.66,12.15,18.5,18.14,4.08,32.31,15.23,21.54,13.06,15.36,22.98,23.61,13.9,26.26,15.46,5.57,26.24,6.5,18.02,33.63,20.0,13.35,3.01,18.97,24.2,19.89,30.73,21.98,20.19,19.95,16.79,24.22,39.64,21.68,6.66,33.43,21.84,20.2,14.41,13.28,22.15,18.97,11.59,5.06,40.66,18.08,10.49,11.09,64.22,16.88,16.62,17.18,12.38,12.5,26.89,29.53,8.91,3.51,9.01,30.8,5.59,14.89,16.2,8.71,8.83,67.07,13.44,17.29,39.62,22.67,41.46,7.81,22.13,18.21,5.14,9.58,11.12,38.82,29.2,2.6,7.17,21.97,41.4,21.06,19.67,38.1,12.23,34.71,9.57,33.58,7.83,27.58,16.93,16.28,23.15,15.02,28.04,36.14,33.43,31.74,27.43,10.53,15.44,20.73,34.03,18.99,15.72,15.1,31.2,35.6,7.3,11.83,11.62,9.46
2009-07-02,12.81,4.26,16.31,21.58,18.11,12.26,17.74,17.21,3.97,31.24,14.72,20.7,12.76,14.98,21.98,22.73,13.46,26.23,15.07,5.34,25.0,6.35,17.13,32.79,19.53,13.14,2.89,18.26,23.68,19.28,29.33,21.42,19.67,19.36,15.87,23.51,37.58,21.15,6.48,32.8,21.54,19.42,13.95,12.91,21.42,18.65,11.27,4.87,39.16,17.72,10.22,10.64,62.78,15.8,16.11,16.53,11.75,12.23,26.62,28.31,8.64,3.36,8.85,30.33,5.12,14.74,16.1,8.33,8.58,66.14,12.51,16.65,39.1,21.62,41.13,7.63,21.06,17.7,4.92,9.3,10.83,38.3,28.36,2.5,6.86,21.22,40.19,19.89,19.08,37.99,11.39,34.12,9.14,32.59,7.45,26.56,16.3,15.38,21.74,14.75,26.39,35.29,32.34,31.63,26.55,10.33,15.22,19.7,32.52,17.73,15.33,14.79,30.32,35.17,7.0,11.53,11.25,9.22
2009-07-06,12.7,4.22,16.21,21.64,18.17,10.88,18.22,17.49,3.9,31.03,14.64,21.29,12.72,15.11,21.95,22.55,13.79,27.07,15.19,5.37,24.97,6.48,17.28,33.56,19.86,13.16,2.83,18.3,23.82,19.46,28.94,21.37,19.88,19.45,16.63,23.86,36.91,20.91,6.53,32.91,21.68,19.91,13.98,12.65,21.18,17.23,11.22,4.82,39.39,17.66,10.25,10.46,64.1,15.78,15.9,16.58,11.59,12.19,27.12,28.1,8.59,3.35,8.88,30.97,5.33,15.05,16.14,8.46,8.52,66.78,13.0,16.22,39.46,22.26,41.41,7.78,20.95,17.58,4.85,9.37,11.01,39.3,27.75,2.42,6.84,21.14,39.19,19.69,19.14,38.51,11.85,34.83,9.37,32.27,7.27,27.07,16.64,15.75,22.23,14.95,27.33,35.56,32.78,31.94,26.66,10.4,15.29,19.85,32.88,18.27,15.73,14.88,29.5,35.12,7.11,11.69,11.04,9.28
2009-07-07,12.34,4.12,15.98,21.04,17.69,9.24,17.6,16.64,3.78,29.87,14.16,20.73,12.7,15.15,20.98,24.25,13.31,26.61,15.28,5.14,23.54,6.35,16.86,32.71,19.67,12.95,2.71,17.83,23.39,19.02,27.39,20.83,19.4,18.83,16.19,23.38,35.92,20.01,6.31,32.27,21.35,19.35,13.54,12.38,20.64,16.88,11.03,4.82,38.02,17.44,9.93,10.46,62.96,15.31,15.54,16.23,11.35,11.91,26.73,29.04,8.15,3.35,8.71,30.92,5.08,14.68,16.03,8.36,8.28,67.17,12.42,16.04,38.65,21.98,40.11,7.65,20.4,17.07,4.66,9.15,10.87,38.83,27.37,2.32,6.62,20.78,38.02,18.98,18.58,37.75,11.39,34.65,9.09,31.33,7.07,27.0,16.09,15.37,21.29,14.61,25.97,34.22,32.06,31.33,26.06,10.33,14.84,20.74,31.93,17.17,15.23,14.52,29.08,35.21,6.61,11.45,10.63,9.19
2009-07-08,12.22,4.18,16.32,21.44,17.01,8.8,17.28,16.23,3.87,30.26,13.99,20.68,12.7,14.95,21.18,23.18,13.28,26.69,14.85,5.22,23.41,6.27,16.94,33.8,19.67,12.87,2.73,18.06,23.74,18.94,27.28,20.75,19.15,19.1,16.12,23.33,35.88,20.02,6.36,32.32,21.38,19.12,13.4,12.42,20.76,16.92,11.05,4.65,37.91,17.34,10.07,10.6,62.02,15.26,15.63,16.42,11.74,12.03,27.01,28.0,8.29,3.26,8.76,30.97,4.84,14.5,15.98,8.56,8.3,67.0,11.69,15.75,38.82,22.32,40.29,7.68,19.9,17.09,4.68,9.1,10.93,39.37,27.14,2.32,6.75,20.5,37.84,18.61,18.58,36.98,11.21,35.14,9.07,31.54,6.92,26.17,16.17,15.3,20.71,14.8,25.98,33.87,31.76,31.09,26.42,10.11,14.59,20.33,32.04,17.09,15.23,14.26,29.2,35.6,6.56,11.4,10.67,9.13
2009-07-09,12.26,4.15,16.19,21.26,17.75,6.37,17.23,16.61,3.9,30.07,13.95,20.7,12.59,14.88,21.23,23.13,13.38,26.59,14.96,5.18,23.76,6.25,17.46,33.42,19.51,12.9,2.77,17.88,23.68,19.06,27.15,20.87,19.4,19.16,16.13,23.24,36.6,20.56,6.38,31.9,21.23,19.11,13.14,12.59,20.87,17.51,11.07,4.78,37.64,17.26,10.27,10.39,61.37,15.44,15.63,16.44,11.82,12.05,26.92,28.34,8.45,3.31,8.78,30.66,4.65,15.21,16.05,8.4,8.39,66.8,11.9,16.1,38.63,22.44,40.34,7.65,20.19,17.0,5.0,9.16,10.83,40.2,27.84,2.37,6.98,20.63,38.76,18.91,18.57,36.86,11.32,34.99,9.11,31.5,7.19,26.41,16.28,15.29,21.37,14.83,25.34,34.47,31.44,31.1,27.22,9.98,14.61,20.55,32.13,16.88,15.41,14.25,29.67,35.38,6.61,11.41,10.63,9.46
2009-07-10,12.32,4.22,16.0,21.3,17.79,7.89,17.03,16.32,3.88,30.34,13.97,20.47,12.5,14.7,21.14,23.04,13.25,25.92,14.68,5.13,23.46,6.33,16.99,33.03,19.28,13.02,2.78,17.78,23.55,18.86,26.88,20.99,19.3,19.1,15.93,23.38,36.38,20.72,6.47,32.02,21.16,19.08,13.02,12.55,20.89,17.49,11.15,4.63,37.68,17.16,10.37,10.4,61.54,15.43,15.65,16.32,12.21,12.04,26.77,27.57,8.56,3.32,8.96,30.6,4.72,15.04,15.92,8.49,8.41,65.69,11.34,15.98,38.82,22.15,40.81,7.71,20.24,16.96,5.04,9.13,10.89,39.42,27.68,2.38,6.9,20.82,38.59,18.85,18.42,36.88,11.03,34.86,9.04,31.87,7.11,25.8,16.22,15.15,21.05,15.01,25.25,33.33,31.51,30.52,26.8,10.11,14.61,20.33,32.5,17.04,15.34,14.24,30.38,35.01,6.63,11.4,10.74,9.17
2009-07-13,12.6,4.33,16.41,21.54,17.96,9.79,18.19,17.27,4.07,30.94,14.6,21.42,12.57,14.91,22.02,23.71,14.03,26.51,15.58,5.23,24.22,6.45,18.01,33.03,19.67,13.19,2.83,18.02,24.15,19.19,27.85,21.27,19.55,19.29,16.26,23.79,37.32,21.22,6.65,32.65,21.45,19.42,13.49,12.94,21.36,17.97,11.39,5.06,38.19,17.48,10.62,10.63,63.59,15.88,15.98,16.75,12.51,12.05,26.91,27.78,8.64,3.32,9.17,31.04,4.87,15.56,16.16,8.48,8.62,66.42,12.0,16.85,38.97,23.17,41.29,7.8,21.78,17.6,5.17,9.29,10.94,41.21,28.6,2.41,7.0,21.01,39.87,19.16,18.68,37.53,12.15,35.37,9.4,32.61,7.11,27.39,16.85,15.43,23.02,15.13,26.59,35.52,32.42,31.21,27.19,10.28,14.9,20.61,33.07,17.63,15.47,14.46,31.52,35.2,6.9,11.62,11.11,9.95
2009-07-14,12.66,4.33,16.53,21.74,18.04,9.62,17.7,17.33,4.1,30.92,14.77,21.59,12.57,14.98,22.11,23.65,13.62,26.69,15.78,5.24,23.85,6.5,19.04,33.07,19.65,13.3,3.02,18.36,23.91,19.23,28.07,21.44,19.9,19.88,16.44,23.71,37.99,20.92,6.78,32.39,21.59,19.43,13.67,12.96,21.47,18.07,11.7,4.99,38.78,17.34,10.63,10.78,64.72,16.16,16.1,17.16,12.47,12.0,27.41,25.68,8.87,3.52,9.18,30.93,4.85,16.08,16.24,8.5,8.74,66.17,12.22,17.21,39.1,23.54,41.39,7.79,21.75,17.51,5.28,9.46,11.01,41.41,28.72,2.46,7.19,21.25,40.83,19.39,18.73,37.81,12.06,35.74,9.2,32.97,7.3,26.5,17.07,15.56,23.22,15.16,27.15,35.23,32.18,31.15,27.35,10.4,15.08,20.41,33.18,17.73,15.78,14.41,33.0,35.42,6.89,11.76,11.33,9.8
